Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2012/10/10,502.1,-0.401%,6.218799303,-0.004015032,0.018081727,0.287038515,,,
2012/10/11,507.18,1.012%,6.22886597,0.010066667,0.012236785,0.194252946,,,
2012/10/12,503.24,-0.777%,6.221067193,-0.007798777,0.01200674,0.190601092,,,
2012/10/15,502.41,-0.165%,6.219416519,-0.001650674,0.011464356,0.181991017,,,
2012/10/16,502.87,0.092%,6.220331687,0.000915168,0.006719537,0.106669351,,,
2012/10/17,502.34,-0.105%,6.219277181,-0.001054506,0.006457307,0.102506576,,,
2012/10/18,501.18,-0.231%,6.216965318,-0.002311863,0.003260167,0.051753553,,,
2012/10/19,492.23,-1.786%,6.198946087,-0.018019231,0.007694852,0.122151983,,,
2012/10/22,484.79,-1.511%,6.183715807,-0.015230279,0.008789769,0.139533258,,,
2012/10/23,477.14,-1.578%,6.167809949,-0.015905859,0.008130199,0.129062905,,,
2012/10/24,474.2,-0.616%,6.161629174,-0.006180775,0.006865467,0.108985918,,,
2012/10/25,476.15,0.411%,6.165732931,0.004103757,0.009216042,0.146300135,,,
2012/10/26,478.27,0.445%,6.170175427,0.004442496,0.009927061,0.157587205,,,
2012/10/29,476.44,-0.383%,6.166341797,-0.00383363,0.008397922,0.13331288,,,
2012/10/30,475.56,-0.185%,6.164493057,-0.00184874,0.004761638,0.075588656,,,
2012/10/31,476.65,0.229%,6.166782469,0.002289412,0.00369531,0.058661227,,,
2012/11/1,477.87,0.256%,6.169338729,0.00255626,0.00342877,0.054430029,,,
2012/11/2,466.58,-2.363%,6.145429495,-0.023909234,0.01094383,0.173727915,,,
2012/11/5,470.86,0.917%,6.15456081,0.009131315,0.012673474,0.201185157,,,
2012/11/6,483.95,2.780%,6.181981596,0.027420786,0.018422391,0.292446386,,,
2012/11/7,468.29,-3.236%,6.149087762,-0.032893833,0.024661965,0.391496556,,,
2012/11/8,470.35,0.440%,6.153477098,0.004389336,0.024788526,0.393505655,,,
2012/11/9,475.58,1.112%,6.164535112,0.011058013,0.022281302,0.353704705,,,
2012/11/12,475.54,-0.008%,6.164451,-8.41114E-05,0.022112743,0.351028912,,,
2012/11/13,474.07,-0.309%,6.16135499,-0.00309601,0.016941452,0.268937215,,,
2012/11/14,477.86,0.799%,6.169317803,0.007962812,0.005759639,0.091431433,,,
2012/11/15,475.13,-0.571%,6.163588451,-0.005729352,0.007205137,0.114377999,,,
2012/11/16,478.02,0.608%,6.169652573,0.006064122,0.005860036,0.093025192,,,
2012/11/19,489.58,2.418%,6.193547881,0.023895308,0.011664591,0.185169647,,,
2012/11/20,481.58,-1.634%,6.177072365,-0.016475516,0.015215343,0.241536078,,,
2012/11/21,484.86,0.681%,6.183860189,0.006787825,0.015131142,0.240199425,,,
2012/11/23,488.29,0.707%,6.190909492,0.007049302,0.014367335,0.22807438,,,
2012/11/26,485.44,-0.584%,6.185055696,-0.005853795,0.015206999,0.241403625,,,
